name,industry,location,estimated_power_cost,employee_count,revenue_estimate,website,news_mentions,contact_info,power_indicators,priority_score,discovery_date,data_sources
Cadbury Nigeria,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Cadbury Nigeria'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Nigerian Breweries,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Nigerian Breweries'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Guinness Nigeria,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Guinness Nigeria'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
International Breweries,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: International Breweries'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Champion Breweries,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Champion Breweries'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Cutix Cables,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Cutix Cables'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Coleman Technical Industries,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Coleman Technical Industries'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Beta Glass,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Beta Glass'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Portland Paints,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Portland Paints'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Berger Paints,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Berger Paints'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
CAP Plc,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: CAP Plc'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Nigerian National Petroleum Corporation,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Nigerian National Petroleum Corporation'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Chevron Nigeria,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Chevron Nigeria'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Shell Nigeria,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Shell Nigeria'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
TotalEnergies Nigeria,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: TotalEnergies Nigeria'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
ExxonMobil Nigeria,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: ExxonMobil Nigeria'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Aiteo Group,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Aiteo Group'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Oando Plc,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Oando Plc'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Conoil Plc,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Conoil Plc'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Forte Oil,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Forte Oil'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
MRS Oil Nigeria,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: MRS Oil Nigeria'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Access Bank,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Access Bank'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Zenith Bank,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Zenith Bank'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Guaranty Trust Bank,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Guaranty Trust Bank'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
First Bank Nigeria,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: First Bank Nigeria'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
United Bank for Africa,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: United Bank for Africa'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Fidelity Bank,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Fidelity Bank'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Union Bank,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Union Bank'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Sterling Bank,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Sterling Bank'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Stanbic IBTC Bank,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Stanbic IBTC Bank'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Wema Bank,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Wema Bank'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
FCMB Group,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: FCMB Group'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Polaris Bank,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Polaris Bank'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
MTN Nigeria,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: MTN Nigeria'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Airtel Nigeria,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Airtel Nigeria'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Glo Mobile,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Glo Mobile'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
9mobile,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: 9mobile'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
MainOne,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: MainOne'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
IHS Towers,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: IHS Towers'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
American Tower Nigeria,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: American Tower Nigeria'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
May & Baker Nigeria,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: May & Baker Nigeria'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Fidson Healthcare,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Fidson Healthcare'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Pharma-Deko,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Pharma-Deko'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Neimeth International,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Neimeth International'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Transcorp Hotels,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Transcorp Hotels'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Golden Tulip,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Golden Tulip'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Radisson Blu,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Radisson Blu'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Sheraton Hotels,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Sheraton Hotels'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Eko Hotels,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Eko Hotels'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Lagos Continental Hotel,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Lagos Continental Hotel'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Nicon Luxury Hotel,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Nicon Luxury Hotel'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
